customer_id,arrival_date,departure_date,lifetime,plan_type,num_profiles,age_group,region,weekly_view_hrs,categories_used,days_since_last_login,acquisition_cost,service_cost,promo_subscriber,monthly_rate,monthly_spend
24,2025-11-08,2026-04-02,145,standalone,6,35-44,LATAM,3.2,3,13.231,60.87,2.64,false,11.99,12.04
25,2023-04-08,2023-08-30,144,standalone,2,18-24,US,4.1,1,7.133,58.5,4.36,false,11.99,10.95
26,2021-10-14,2024-11-06,1119,standalone,1,25-34,EMEA,18.1,3,0.909,65.04,5.69,false,11.99,11.09
27,2023-06-09,2024-09-24,473,bundle,4,35-44,EMEA,10.3,2,1.167,50.54,5.58,false,18.99,19.05
28,2025-12-28,,,bundle,3,45-54,US,15.1,4,3.168,51.33,2.93,true,18.99,20.91
29,2022-09-25,,,bundle,4,18-24,US,11.0,5,0.523,60.46,4.07,false,18.99,19.26
30,2021-12-13,2022-05-25,163,standalone,2,18-24,LATAM,2.9,0,1.69,60.71,4.63,false,11.99,12.13
31,2023-05-21,2024-02-22,277,standalone,1,35-44,EMEA,3.6,1,4.547,38.68,3.51,false,11.99,13.2
32,2020-12-18,2021-05-19,152,standalone,5,25-34,US,2.4,0,3.154,48.76,3.22,false,11.99,11.82
33,2024-09-19,2025-01-21,124,bundle,3,18-24,LATAM,8.4,0,5.45,52.67,5.87,true,18.99,20.15
34,2023-03-16,2023-12-27,286,standalone,2,45-54,US,1.5,1,1.253,35.43,3.39,false,11.99,13.69
35,2026-03-16,2026-07-25,131,bundle,4,35-44,US,5.3,2,7.924,52.36,4.91,false,18.99,16.69
36,2025-10-23,2026-04-08,167,bundle,0,35-44,US,1.9,1,4.772,74.38,2.96,false,18.99,18.23
37,2025-08-10,2026-02-11,185,standalone,2,25-34,US,2.8,0,8.831,52.95,3.4,false,11.99,12.81
38,2022-01-02,2022-03-30,87,standalone,2,45-54,LATAM,4.9,1,7.338,45.97,4.81,false,11.99,10.69
39,2020-10-21,2021-01-15,86,standalone,5,35-44,EMEA,7.8,2,1.109,49.84,5.54,true,11.99,10.31
40,2026-04-12,,,bundle,5,35-44,US,41.4,2,3.878,64.45,9.37,false,18.99,20.55
41,2022-10-27,2023-03-17,141,standalone,2,18-24,US,4.0,0,8.358,60.06,4.34,false,11.99,12.95
42,2020-11-09,2021-08-06,270,standalone,0,45-54,EMEA,3.3,1,3.652,30.12,3.75,false,11.99,10.42
43,2026-07-03,,,bundle,5,45-54,APAC,8.3,0,3.474,56.15,6.2,false,18.99,17.11
44,2020-06-24,2021-10-27,490,standalone,1,35-44,US,2.9,3,6.099,48.01,2.7,false,11.99,10.52
45,2024-01-09,,,bundle,5,18-24,LATAM,20.0,4,0.532,76.95,5.79,false,18.99,17.82
46,2023-12-27,2024-09-22,270,bundle,1,35-44,US,5.4,3,8.002,49.52,3.12,true,18.99,18.19
47,2022-01-18,2022-05-30,132,standalone,1,55+,LATAM,4.4,4,18.874,54.93,2.82,false,11.99,10.96
48,2025-03-27,,,standalone,1,25-34,US,7.0,4,0.714,52.41,4.39,false,11.99,11.18
49,2021-01-23,2022-01-20,362,bundle,6,55+,EMEA,8.0,3,2.454,45.46,4.4,false,18.99,21.62
50,2021-02-01,2021-06-15,134,bundle,6,35-44,US,9.0,2,3.026,36.03,5.04,true,18.99,19.6
51,2023-04-02,2026-07-07,1192,bundle,2,55+,US,17.8,3,0.91,67.8,4.77,false,18.99,20.95
52,2026-01-15,,,standalone,0,25-34,US,4.2,1,6.18,53.99,3.32,false,11.99,11.03
53,2022-05-12,2023-04-21,344,bundle,4,35-44,EMEA,7.6,4,4.901,43.36,3.5,true,18.99,20.14
54,2026-05-10,,,bundle,2,35-44,US,4.9,3,0.251,40.52,3.99,false,18.99,20.14
55,2025-08-20,,,standalone,1,25-34,LATAM,15.7,0,1.518,53.82,7.2,false,11.99,12.07
56,2022-05-03,2023-02-19,292,bundle,6,35-44,EMEA,6.9,1,0.302,42.03,5.67,false,18.99,17.38
57,2026-06-02,,,bundle,5,45-54,US,15.3,4,0.174,45.48,7.02,true,18.99,20.26
58,2025-10-26,2026-07-01,248,bundle,4,35-44,APAC,13.9,0,0.429,20.65,7.14,true,18.99,18.5
59,2020-12-12,2021-04-16,125,standalone,5,55+,US,5.7,4,3.027,46.37,4.84,false,11.99,11.74
60,2025-09-11,2026-01-09,120,standalone,2,45-54,US,1.5,1,7.817,48.73,3.21,false,11.99,11.65
61,2021-03-03,2021-08-23,173,standalone,4,55+,EMEA,12.8,2,4.911,49.14,5.72,false,11.99,11.69
62,2020-03-25,2021-01-04,285,standalone,1,25-34,EMEA,9.8,0,0.193,29.19,8.52,true,11.99,9.96
63,2025-08-12,,,standalone,1,55+,US,7.8,4,0.898,58.6,4.34,false,11.99,11.17
64,2025-01-24,2025-05-12,108,standalone,1,35-44,LATAM,7.9,0,9.043,46.64,5.44,false,11.99,10.65
65,2023-03-10,2023-06-17,99,standalone,0,45-54,LATAM,1.9,0,10.144,57.48,2.48,true,11.99,13.03
66,2024-11-11,2025-02-22,103,standalone,1,25-34,EMEA,2.1,0,3.388,45.45,4.05,false,11.99,11.39
67,2022-07-22,2023-09-04,409,standalone,1,25-34,US,17.0,2,3.091,69.96,6.16,false,11.99,13.35
68,2023-02-12,2023-07-19,157,standalone,1,55+,EMEA,4.8,1,11.646,42.93,3.89,false,11.99,11.47
69,2024-02-03,2025-10-20,625,standalone,2,35-44,EMEA,5.8,2,0.919,65.56,4.53,false,11.99,11.19
70,2023-10-22,2024-02-01,102,standalone,3,25-34,EMEA,1.6,1,7.815,37.39,3.01,false,11.99,11.8
71,2024-01-30,2025-07-20,537,standalone,3,25-34,US,3.7,2,2.28,40.51,2.45,true,11.99,10.61
72,2022-06-21,2022-10-17,118,bundle,3,55+,LATAM,12.3,2,7.703,57.65,5.63,false,18.99,20.32
73,2026-01-04,2026-07-23,200,bundle,2,55+,EMEA,4.5,1,4.38,43.69,4.14,true,18.99,19.1
74,2021-10-26,2022-04-03,159,bundle,2,18-24,EMEA,7.9,0,1.842,48.18,7.13,false,18.99,18.16
75,2022-01-22,2022-05-29,127,bundle,5,18-24,APAC,3.2,2,7.578,40.25,4.69,false,18.99,21.61
76,2025-07-30,,,standalone,2,45-54,APAC,21.1,5,0.67,54.57,5.29,true,11.99,13.17
77,2023-11-16,2023-12-23,37,bundle,4,35-44,EMEA,1.3,2,5.371,50.65,3.52,true,18.99,16.12
78,2026-08-21,,,standalone,1,25-34,US,6.6,1,4.143,55.22,4.01,false,11.99,11.23
79,2026-08-03,,,standalone,5,25-34,EMEA,12.1,2,2.326,55.74,6.5,false,11.99,10.62
80,2024-11-02,2025-03-04,122,bundle,2,18-24,US,4.2,2,12.627,49.94,4.58,false,18.99,21.28
81,2024-11-17,2025-12-11,389,standalone,4,35-44,US,8.9,3,4.303,48.18,4.31,false,11.99,11.58
82,2021-10-03,2023-03-15,528,standalone,0,35-44,US,7.0,1,2.071,39.78,4.33,false,11.99,9.91
83,2024-11-27,2026-05-30,549,bundle,4,18-24,US,6.7,3,0.967,53.45,4.78,false,18.99,19.16
84,2025-07-08,2026-01-17,193,standalone,3,25-34,LATAM,6.8,2,4.287,60.35,4.96,false,11.99,12.61
85,2025-09-13,,,bundle,2,25-34,APAC,4.5,3,6.546,54.39,2.79,false,18.99,18.65
86,2021-02-24,2021-07-22,148,standalone,0,18-24,EMEA,5.6,0,10.686,61.28,3.97,false,11.99,11.49
87,2025-01-05,2025-12-04,333,standalone,1,18-24,EMEA,8.8,5,4.712,44.29,3.84,true,11.99,14.23
88,2021-03-26,2021-05-24,59,standalone,0,25-34,EMEA,1.5,1,4.847,47.53,4.37,false,11.99,11.97
89,2023-03-24,2025-02-07,686,standalone,2,25-34,US,15.5,2,0.833,61.02,6.71,false,11.99,10.11
90,2022-07-10,2022-12-15,158,standalone,3,35-44,US,9.6,0,10.359,59.55,5.61,false,11.99,12.45
91,2020-08-07,2021-05-23,289,standalone,1,35-44,EMEA,13.8,2,2.407,52.59,5.51,false,11.99,12.44
92,2023-06-23,2025-05-13,690,standalone,4,25-34,US,13.4,3,0.074,27.65,7.53,false,11.99,10.8
93,2025-02-04,2026-01-12,342,bundle,3,18-24,LATAM,9.3,3,6.137,36.24,5.51,false,18.99,18.06
94,2023-12-04,2024-11-09,341,standalone,1,25-34,APAC,8.6,3,2.21,43.22,4.75,false,11.99,10.34
95,2024-07-18,2024-10-24,98,bundle,4,25-34,LATAM,6.7,3,5.153,52.61,5.33,true,18.99,16.81
96,2021-12-15,2023-02-05,417,standalone,2,25-34,EMEA,38.6,2,1.242,39.35,8.29,true,11.99,11.56
97,2026-03-05,,,standalone,1,25-34,US,2.4,3,1.381,49.78,3.33,false,11.99,11.95
98,2023-10-02,2024-05-12,223,standalone,0,25-34,US,3.5,2,4.87,35.38,3.75,false,11.99,11.83
99,2023-12-18,2024-09-13,270,bundle,3,18-24,EMEA,1.8,1,1.788,52.86,3.15,false,18.99,17.61
100,2025-04-26,2025-10-09,166,standalone,4,35-44,US,3.6,1,11.917,44.77,2.94,false,11.99,13.39
101,2021-07-04,2022-03-26,265,bundle,2,45-54,US,16.3,4,2.379,34.13,5.72,true,18.99,14.73
102,2023-11-20,2024-08-20,274,standalone,1,25-34,LATAM,4.2,2,4.59,54.9,4.16,false,11.99,10.56
103,2025-12-22,,,standalone,3,45-54,US,5.6,1,0.834,53.13,4.57,false,11.99,10.72
104,2025-05-21,2025-08-01,72,standalone,1,18-24,EMEA,3.9,0,8.238,54.57,4.93,false,11.99,11.91
105,2023-10-23,2024-04-04,164,bundle,4,18-24,APAC,2.6,2,0.166,56.91,4.07,true,18.99,15.07
106,2022-05-08,2022-09-08,123,standalone,9,25-34,APAC,3.0,3,2.747,47.2,2.96,false,11.99,12.56
107,2020-01-30,2020-04-04,65,standalone,2,45-54,EMEA,1.9,1,12.778,38.47,3.24,false,11.99,12.4
108,2025-12-28,,,bundle,2,25-34,APAC,11.0,2,1.59,40.8,6.11,true,18.99,20.19
109,2023-08-04,2024-04-07,247,standalone,1,55+,EMEA,6.6,0,2.105,50.62,5.85,false,11.99,10.3
110,2021-09-24,2022-03-06,163,standalone,3,35-44,LATAM,4.3,0,3.26,42.53,4.56,false,11.99,12.44
111,2025-07-15,2025-12-26,164,bundle,2,45-54,US,10.1,2,6.123,50.31,5.61,false,18.99,18.86
112,2025-08-05,2026-02-09,188,standalone,3,55+,APAC,5.7,1,4.475,50.83,5.1,false,11.99,10.82
113,2023-12-31,2024-02-09,40,standalone,4,25-34,LATAM,5.1,2,5.798,42.84,6.34,false,11.99,11.49
114,2025-12-03,2026-06-30,209,bundle,5,25-34,APAC,6.2,1,2.458,62.75,5.08,false,18.99,18.71
115,2025-10-20,,,standalone,3,25-34,APAC,2.4,1,0.819,43.96,3.49,false,11.99,10.57
116,2025-03-09,2025-08-27,171,standalone,2,25-34,LATAM,1.7,3,3.54,39.85,2.71,false,11.99,11.31
117,2022-01-30,2022-09-29,242,standalone,1,25-34,US,5.8,0,1.867,60.0,4.95,false,11.99,13.81
118,2022-04-16,2024-01-06,630,bundle,2,18-24,EMEA,7.4,2,1.157,42.5,3.93,true,18.99,15.5
119,2024-05-27,2024-06-12,16,bundle,3,45-54,US,2.1,0,18.3,69.08,4.51,false,18.99,14.8
120,2023-11-14,2024-09-07,298,standalone,2,55+,APAC,33.8,1,2.255,44.79,9.8,false,11.99,12.66
121,2020-06-24,2020-11-19,148,standalone,3,25-34,APAC,9.9,4,9.483,41.0,4.05,false,11.99,12.46
122,2020-07-20,2021-01-18,182,standalone,0,45-54,EMEA,9.6,2,7.32,61.47,4.52,false,11.99,12.9
123,2025-06-22,2026-02-18,241,bundle,3,35-44,US,5.6,2,5.186,44.67,3.86,true,18.99,17.61
124,2021-01-24,2021-12-07,317,standalone,2,25-34,EMEA,9.5,3,3.286,45.46,5.39,false,11.99,14.14
125,2021-10-29,2021-11-24,26,standalone,2,45-54,APAC,1.3,0,21.884,54.95,2.75,false,11.99,10.89
126,2024-11-30,2025-09-16,290,standalone,2,45-54,LATAM,12.1,1,6.871,46.7,4.79,false,11.99,12.47
127,2023-02-07,2024-07-18,527,bundle,3,25-34,EMEA,29.7,4,2.462,41.51,6.23,true,18.99,19.1
128,2023-05-11,2025-04-12,702,standalone,3,55+,EMEA,2.7,3,1.563,54.86,2.99,false,11.99,10.72
129,2023-12-04,2026-03-27,844,standalone,1,18-24,US,16.6,3,0.04,43.26,6.44,true,11.99,13.68
130,2025-11-11,,,standalone,3,25-34,US,8.6,2,2.346,48.48,4.82,false,11.99,12.33
131,2024-05-15,2024-08-09,86,standalone,3,35-44,EMEA,2.6,1,22.556,52.82,2.55,false,11.99,9.85
132,2023-03-19,2024-11-02,594,standalone,3,35-44,APAC,19.9,6,0.39,34.64,5.69,true,11.99,12.44
133,2024-03-20,2025-12-31,651,standalone,4,18-24,EMEA,5.7,7,1.873,53.21,3.37,false,11.99,11.15
134,2023-08-21,2024-12-24,491,bundle,2,25-34,EMEA,4.8,2,0.286,70.14,5.5,false,18.99,20.37
135,2020-07-08,2021-02-08,215,bundle,4,55+,US,4.8,6,2.102,39.2,3.7,true,18.99,21.89
136,2023-05-22,2023-12-14,206,bundle,7,35-44,US,4.2,3,1.186,51.77,4.26,false,18.99,18.42
137,2024-06-25,2024-11-17,145,standalone,1,45-54,LATAM,4.1,2,3.171,59.32,4.03,false,11.99,12.77
138,2026-08-03,,,standalone,2,25-34,US,2.0,1,1.459,67.3,3.21,false,11.99,11.47
139,2020-08-01,2020-12-02,123,standalone,0,25-34,APAC,2.8,2,3.974,41.14,3.08,true,11.99,12.59
140,2026-01-02,2026-06-28,177,bundle,4,55+,EMEA,2.6,2,3.496,48.44,4.24,false,18.99,20.12
141,2024-07-12,,,standalone,2,18-24,US,7.0,3,10.343,46.99,2.52,false,11.99,9.87
142,2024-08-04,2024-10-27,84,standalone,2,45-54,EMEA,0.7,0,8.101,40.71,2.58,false,11.99,11.67
143,2026-04-07,,,standalone,2,55+,US,8.7,1,0.228,58.81,5.16,false,11.99,11.02
144,2023-05-05,2023-11-29,208,bundle,2,45-54,US,4.3,2,1.949,44.13,4.52,true,18.99,18.47
145,2026-06-15,,,standalone,5,18-24,LATAM,3.8,3,12.367,45.72,3.35,false,11.99,13.54
146,2019-11-17,2020-08-25,282,standalone,0,25-34,LATAM,34.4,2,2.761,54.76,7.69,true,11.99,13.5
147,2024-08-01,2024-12-08,129,standalone,2,35-44,US,4.9,1,6.61,40.56,3.43,true,11.99,10.87
148,2026-04-17,,,standalone,1,45-54,LATAM,3.8,3,1.1,47.53,3.39,false,11.99,11.78
149,2025-01-30,2025-07-15,166,standalone,2,25-34,APAC,2.7,1,5.527,62.13,2.63,false,11.99,11.17
150,2021-07-16,2021-12-02,139,bundle,4,55+,APAC,5.9,3,4.512,50.25,3.93,true,18.99,20.8
151,2020-03-15,2020-10-30,229,standalone,3,35-44,EMEA,2.9,3,3.397,39.78,2.62,false,11.99,11.48
152,2020-08-18,2020-10-22,65,bundle,1,18-24,APAC,2.9,0,4.867,57.42,4.81,false,18.99,19.87
153,2023-02-20,2024-02-26,371,bundle,3,18-24,LATAM,11.1,2,1.215,49.26,5.15,true,18.99,18.26
154,2023-09-28,2024-01-11,105,standalone,3,25-34,APAC,4.1,0,2.283,51.82,5.43,false,11.99,11.01
155,2024-12-30,2025-12-12,347,standalone,0,25-34,US,8.7,2,5.75,58.68,4.35,false,11.99,11.88
156,2024-05-21,2025-02-07,262,bundle,2,25-34,EMEA,11.4,1,2.145,55.45,6.7,false,18.99,20.09
157,2024-01-17,2024-07-23,188,bundle,4,35-44,US,15.4,1,3.604,41.14,7.02,true,18.99,19.07
158,2024-07-06,2025-05-26,324,standalone,7,35-44,APAC,6.3,4,3.612,60.46,4.09,false,11.99,12.81
159,2022-03-03,2022-04-27,55,standalone,1,35-44,EMEA,1.6,2,9.494,42.67,2.72,true,11.99,11.64
160,2024-11-27,2025-11-17,355,standalone,1,25-34,US,26.9,0,5.307,37.23,8.12,false,11.99,12.44
161,2025-05-09,2025-06-05,27,standalone,4,35-44,APAC,3.6,2,17.898,40.25,4.08,true,11.99,13.03
162,2023-12-23,2025-03-13,446,standalone,2,35-44,US,7.0,4,2.469,47.93,4.06,false,11.99,12.84
163,2020-12-30,2023-01-14,745,standalone,4,45-54,US,1.9,2,0.982,49.02,2.49,false,11.99,13.64
164,2026-01-03,2026-08-27,236,standalone,5,35-44,LATAM,6.6,3,14.729,25.33,3.25,false,11.99,12.01
165,2023-06-03,2024-02-04,246,standalone,1,25-34,LATAM,10.5,2,3.004,43.75,4.99,false,11.99,10.24
166,2022-03-13,2022-12-25,287,bundle,3,45-54,US,6.7,1,0.6,51.9,6.87,false,18.99,21.41
167,2021-08-03,2022-02-12,193,standalone,1,18-24,APAC,1.6,0,3.993,45.42,2.86,false,11.99,12.27
168,2025-10-03,2026-02-23,143,bundle,2,25-34,LATAM,7.5,2,4.065,58.52,4.99,true,18.99,17.96
169,2026-03-12,2026-07-16,126,bundle,5,55+,LATAM,2.9,1,16.406,69.45,3.27,false,18.99,16.66
170,2026-07-17,,,standalone,2,35-44,US,4.4,2,1.607,40.13,4.95,false,11.99,14.2
171,2024-05-28,2025-09-16,476,standalone,6,25-34,EMEA,9.4,1,0.341,59.73,5.4,false,11.99,11.92
172,2024-03-25,2025-05-20,421,standalone,2,45-54,US,24.4,4,9.485,51.6,5.95,false,11.99,12.03
173,2026-08-11,,,bundle,4,35-44,US,11.2,4,2.929,54.53,4.61,false,18.99,20.64
174,2021-09-02,2024-04-02,943,standalone,1,25-34,LATAM,8.0,2,2.33,38.32,3.42,false,11.99,11.94
175,2023-03-16,2023-05-21,66,standalone,0,35-44,EMEA,2.4,0,10.379,29.2,3.34,true,11.99,13.72
176,2026-06-14,,,standalone,1,18-24,LATAM,5.2,1,1.903,43.19,5.43,false,11.99,10.25
177,2025-11-18,2026-01-13,56,bundle,4,35-44,APAC,11.2,2,13.927,70.96,5.73,false,18.99,22.76
178,2024-06-23,2026-08-17,785,standalone,2,35-44,LATAM,25.9,4,4.787,55.71,5.21,false,11.99,13.87
179,2024-04-29,2025-06-02,399,standalone,2,35-44,LATAM,2.2,0,1.105,55.02,3.66,false,11.99,12.33
180,2025-06-18,2025-12-28,193,bundle,2,55+,APAC,3.5,1,3.38,60.35,3.44,true,18.99,19.92
181,2021-10-23,2022-09-15,327,bundle,4,25-34,US,6.7,4,1.461,57.56,4.4,false,18.99,20.32
182,2021-03-28,2021-11-25,242,standalone,5,18-24,US,3.2,1,2.474,35.84,3.37,false,11.99,10.05
183,2025-04-25,,,standalone,3,45-54,EMEA,20.0,1,3.376,53.43,6.22,false,11.99,13.12
184,2025-12-22,,,standalone,2,45-54,US,7.8,3,4.068,63.42,4.7,false,11.99,10.46
185,2022-03-09,2023-09-01,541,bundle,1,45-54,US,8.0,5,8.164,63.52,2.94,false,18.99,17.89
186,2025-04-18,2025-07-19,92,standalone,1,45-54,EMEA,2.0,0,6.032,35.3,3.83,true,11.99,11.85
187,2025-05-27,,,bundle,5,25-34,EMEA,6.7,4,0.129,64.54,5.56,false,18.99,19.96
188,2024-04-29,2026-03-08,678,bundle,7,35-44,US,28.2,3,0.621,52.79,6.11,true,18.99,16.62
189,2020-08-29,2021-06-21,296,standalone,5,25-34,LATAM,3.5,2,0.643,45.89,3.9,false,11.99,12.61
190,2026-02-04,2026-05-25,110,standalone,3,25-34,EMEA,4.3,2,3.391,48.92,4.79,false,11.99,12.36
191,2022-05-13,2023-05-16,368,bundle,3,25-34,EMEA,15.1,2,2.113,66.84,6.38,false,18.99,21.19
192,2020-03-12,2021-01-28,322,standalone,1,18-24,LATAM,4.4,2,1.536,28.86,4.16,false,11.99,13.13
193,2023-11-21,2024-05-18,179,bundle,1,18-24,US,3.3,1,3.677,54.0,4.03,false,18.99,15.87
194,2020-08-23,2020-12-10,109,standalone,3,25-34,APAC,7.0,3,3.62,43.64,5.68,false,11.99,11.92
195,2022-04-19,2023-05-02,378,bundle,2,25-34,US,3.5,1,5.324,52.23,3.35,false,18.99,21.1
196,2026-05-18,,,standalone,4,35-44,US,6.4,2,22.854,55.11,3.86,false,11.99,10.33
197,2025-07-14,2025-11-23,132,bundle,3,35-44,LATAM,0.9,0,2.86,57.74,2.63,true,18.99,14.46
198,2026-06-16,,,bundle,5,35-44,LATAM,5.8,1,0.766,37.15,5.28,true,18.99,17.26
199,2025-10-22,,,standalone,4,35-44,LATAM,9.1,3,3.537,43.35,3.4,false,11.99,11.08
200,2023-06-22,2024-04-22,305,standalone,3,18-24,EMEA,6.6,1,1.669,56.22,4.91,false,11.99,12.89
201,2024-02-21,2024-08-07,168,standalone,4,25-34,LATAM,6.2,3,6.119,49.11,3.8,false,11.99,12.75
202,2026-03-26,,,bundle,2,18-24,EMEA,3.5,3,8.305,47.19,2.45,true,18.99,17.29
203,2024-07-11,2025-03-03,235,bundle,3,25-34,EMEA,2.9,2,1.639,53.52,3.48,false,18.99,17.77
204,2023-05-21,2024-02-07,262,bundle,4,25-34,US,6.6,2,2.347,36.48,5.06,true,18.99,18.4
205,2020-05-21,2022-02-28,648,standalone,1,18-24,US,6.6,4,7.608,35.08,3.11,false,11.99,11.15
206,2020-04-27,2021-05-23,391,standalone,4,18-24,US,12.0,0,0.457,53.27,6.86,false,11.99,10.35
207,2024-09-26,2025-10-25,394,bundle,4,35-44,US,29.9,4,0.577,70.07,8.36,false,18.99,16.21
208,2025-04-05,2026-02-23,324,standalone,3,18-24,EMEA,26.6,5,2.703,46.45,6.2,true,11.99,12.11
209,2026-05-30,,,standalone,0,55+,US,4.1,0,3.112,44.01,4.8,false,11.99,11.83
210,2024-07-26,,,bundle,3,35-44,LATAM,20.0,3,0.022,61.95,6.84,false,18.99,20.48
211,2025-06-06,2026-06-10,369,standalone,1,45-54,US,5.6,2,1.934,39.55,4.21,false,11.99,11.95
212,2025-05-02,2026-03-07,309,bundle,3,25-34,LATAM,12.4,5,3.734,55.1,5.08,false,18.99,18.19
213,2020-08-16,2020-10-23,68,standalone,0,45-54,LATAM,1.0,2,8.96,43.5,2.32,false,11.99,11.15
214,2025-03-05,2025-07-29,146,bundle,1,25-34,US,2.1,1,5.137,47.31,3.34,true,18.99,18.32
215,2020-03-17,2022-08-26,892,standalone,4,25-34,US,14.5,3,0.738,46.9,4.95,false,11.99,13.59
216,2021-02-24,2021-08-23,180,bundle,7,25-34,LATAM,11.8,5,0.867,44.45,6.12,true,18.99,20.02
217,2022-06-15,2022-09-02,79,bundle,2,35-44,APAC,4.4,2,8.743,55.61,3.91,true,18.99,20.16
218,2021-12-29,2022-04-25,117,bundle,5,45-54,US,3.2,3,2.593,53.12,4.59,false,18.99,18.54
219,2026-03-25,2026-07-26,123,bundle,5,25-34,APAC,9.5,3,11.492,58.16,4.75,false,18.99,21.03
220,2025-09-11,2025-11-23,73,standalone,0,25-34,LATAM,1.8,0,9.929,51.17,3.3,false,11.99,11.91
221,2025-03-27,2026-05-24,423,standalone,1,55+,US,2.2,0,1.271,43.33,3.64,false,11.99,9.95
222,2025-10-15,2025-12-19,65,bundle,2,25-34,EMEA,2.8,0,9.039,57.0,4.95,false,18.99,18.1
223,2025-12-09,2026-05-08,150,standalone,2,25-34,APAC,8.6,1,1.854,49.25,7.33,false,11.99,10.95
224,2020-11-06,2020-12-20,44,standalone,3,25-34,APAC,2.2,1,6.237,57.32,3.8,false,11.99,12.35
225,2025-04-15,2026-01-19,279,standalone,2,55+,US,7.1,3,3.202,52.63,4.99,false,11.99,11.59
226,2023-06-01,2024-02-13,257,bundle,5,35-44,LATAM,25.3,4,1.552,64.33,6.82,true,18.99,17.73
227,2025-04-15,2025-08-21,128,standalone,3,45-54,US,3.2,0,3.148,59.97,4.87,false,11.99,11.12
228,2026-07-11,,,standalone,2,35-44,APAC,21.4,1,0.194,46.23,8.58,false,11.99,13.58
229,2020-09-28,2021-01-06,100,standalone,2,18-24,LATAM,6.9,2,5.467,41.15,4.77,true,11.99,12.84
230,2022-11-12,2023-04-06,145,bundle,3,25-34,LATAM,11.4,2,6.856,51.05,5.7,true,18.99,17.9
231,2020-08-18,2021-01-15,150,bundle,2,45-54,EMEA,1.8,3,2.492,54.5,3.23,false,18.99,20.48
232,2026-02-27,,,standalone,2,55+,LATAM,4.0,1,1.403,49.41,5.18,false,11.99,11.63
233,2026-04-21,,,bundle,2,18-24,LATAM,8.8,4,4.371,66.03,3.7,false,18.99,19.99
234,2022-01-21,2023-02-21,396,standalone,5,45-54,US,13.6,2,4.222,68.15,4.52,false,11.99,12.79
235,2023-02-11,2025-11-24,1017,standalone,2,45-54,EMEA,3.1,3,1.88,45.22,2.57,false,11.99,10.67
236,2023-03-31,2023-10-11,194,standalone,2,35-44,US,8.6,2,4.353,55.01,4.79,false,11.99,13.7
